Metric,DTAExtension,Lemmatizer,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polaritySentiWS,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,705","0,4587155963","0,7972508591","0,4098360656","0,5208333333","0,8345323741","0,7631578947","0,6221842198","0,641995614","0,6279832277",25,23,116,36
polaritySentiWS,dtaExtended,treetagger,noStopwordList,caseSensitive,"0,695","0,4299065421","0,7918088737","0,3770491803","0,5","0,8345323741","0,7532467532","0,6057907772","0,6266233766","0,6108577079",23,23,116,38
polarityCombined,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,675","0,4444444444","0,7703180212","0,4262295082","0,4642857143","0,7841726619","0,7569444444","0,605201085","0,6106150794","0,6073812328",26,30,109,35
polarityCombined,dtaExtended,pattern,noStopwordList,caseInSensitive,"0,675","0,4247787611","0,7735191638","0,393442623","0,4615384615","0,7985611511","0,75","0,596001887","0,6057692308","0,5991489624",24,28,111,37
polarityCombined,dtaExtended,pattern,noStopwordList,caseSensitive,"0,675","0,4247787611","0,7735191638","0,393442623","0,4615384615","0,7985611511","0,75","0,596001887","0,6057692308","0,5991489624",24,28,111,37
polaritySentiWS,dtaExtended,pattern,noStopwordList,caseInSensitive,"0,675","0,3925233645","0,7781569966","0,3442622951","0,4565217391","0,8201438849","0,7402597403","0,58220309","0,5983907397","0,5853401805",21,25,114,40
polarityCombined,dtaExtended,noLemmatization,noStopwordList,caseInSensitive,"0,67","0,4677419355","0,7608695652","0,4754098361","0,4603174603","0,7553956835","0,7664233577","0,6154027598","0,613370409","0,6143057504",29,34,105,32
polaritySentiWS,dtaExtended,noLemmatization,noStopwordList,caseInSensitive,"0,67","0,4107142857","0,7708333333","0,3770491803","0,4509803922","0,7985611511","0,744966443","0,5878051657","0,5979734176","0,5907738095",23,28,111,38
polaritySentiWS,dtaExtended,pattern,noStopwordList,caseSensitive,"0,67","0,3653846154","0,777027027","0,3114754098","0,4418604651","0,8273381295","0,7324840764","0,5694067697","0,5871722708","0,5712058212",19,24,115,42
polarityCombined,dtaExtended,noLemmatization,noStopwordList,caseSensitive,"0,665","0,4462809917","0,7598566308","0,4426229508","0,45","0,7625899281","0,7571428571","0,6026064394","0,6035714286","0,6030688113",27,33,106,34
polarityCK,dtaExtended,treetagger,enhancedFilteredList,caseSensitive,"0,605","0,5536723164","0,6457399103","0,8032786885","0,4224137931","0,5179856115","0,8571428571","0,66063215","0,6397783251","0,5997061133",49,67,72,12
polarityGpc,dtaExtended,pattern,enhancedFilteredList,caseSensitive,"0,605","0,7213114754","0,4150943396","0,5269461078","0,5539568345","0,8191489362","0,660944206","0,637634155","0,6171216379","0,5939451569",44,62,77,17
polarityCK,dtaExtended,treetagger,enhancedFilteredList,caseInSensitive,"0,6","0,5505617978","0,6396396396","0,8032786885","0,4188034188","0,5107913669","0,8554216867","0,6570350277","0,6371125528","0,5951007187",49,68,71,12
polarityGpc,dtaExtended,pattern,enhancedFilteredList,caseInSensitive,"0,6","0,7213114754","0,4112149533","0,5238095238","0,5467625899","0,8172043011","0,6551724138","0,6340370327","0,6142096272","0,5894909688",44,63,76,17
polarityCK,dtaExtended,pattern,enhancedList,caseInSensitive,"0,595","0,5149700599","0,652360515","0,7049180328","0,4056603774","0,5467625899","0,8085106383","0,6258403114","0,6070855078","0,5836652875",43,63,76,18
polarityCK,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,59","0,4383561644","0,6771653543","0,5245901639","0,3764705882","0,618705036","0,747826087","0,5716476","0,5621483376","0,5577607594",32,53,86,29
polarityCK,dtaExtended,treetagger,enhancedList,caseSensitive,"0,59","0,4383561644","0,6771653543","0,5245901639","0,3764705882","0,618705036","0,747826087","0,5716476","0,5621483376","0,5577607594",32,53,86,29
polarityGpc,dtaExtended,noLemmatization,enhancedFilteredList,caseInSensitive,"0,59","0,6885245902","0,4","0,5060240964","0,5467625899","0,8","0,6495726496","0,61764359","0,6","0,577798373",42,63,76,19
polarityGpc,dtaExtended,noLemmatization,enhancedFilteredList,caseSensitive,"0,59","0,6885245902","0,4","0,5060240964","0,5467625899","0,8","0,6495726496","0,61764359","0,6","0,577798373",42,63,76,19
polarityGpc,dtaExtended,pattern,enhancedList,caseInSensitive,"0,59","0,6393442623","0,3939393939","0,4875","0,5683453237","0,7821782178","0,6583333333","0,603844793","0,5880588059","0,5729166667",39,60,79,22
polarityCKDichotom,dtaExtended,treetagger,enhancedList,caseSensitive,"0,53","0,3896103896","0,6178861789","0,4918032787","0,3225806452","0,5467625899","0,7102803738","0,5192829343","0,5164305095","0,5037482842",30,63,76,31
polarityCKDichotom,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,525","0,3870967742","0,612244898","0,4918032787","0,3191489362","0,5395683453","0,7075471698","0,515685812","0,513348053","0,4996708361",30,64,75,31
polarityNrc,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,525","0,4378698225","0,5887445887","0,606557377","0,3425925926","0,4892086331","0,7391304348","0,5478830051","0,5408615137","0,5133072056",37,71,68,24
polarityCKDichotom,dtaExtended,treetagger,enhancedFilteredList,caseSensitive,"0,52","0,4838709677","0,5514018692","0,737704918","0,36","0,4244604317","0,7866666667","0,5810826748","0,5733333333","0,5176364185",45,80,59,16
polarityCKDichotom,dtaExtended,treetagger,enhancedFilteredList,caseInSensitive,"0,515","0,4812834225","0,544600939","0,737704918","0,3571428571","0,4172661871","0,7837837838","0,5774855525","0,5704633205","0,5129421807",45,81,58,16
clearlyPolarityCombined,dtaExtended,pattern,enhancedList,caseSensitive,"0,51","0,4431818182","0,5625","0,6393442623","0,3391304348","0,4532374101","0,7411764706","0,5462908362","0,5401534527","0,5028409091",39,76,63,22
clearlyPolarityCombined,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,505","0,3850931677","0,5857740586","0,5081967213","0,31","0,5035971223","0,7","0,5058969218","0,505","0,4854336131",31,69,70,30
clearlyPolarityCombined,dtaExtended,treetagger,enhancedList,caseSensitive,"0,505","0,3850931677","0,5857740586","0,5081967213","0,31","0,5035971223","0,7","0,5058969218","0,505","0,4854336131",31,69,70,30
clearlyPolarityCombined,dtaExtended,treetagger,enhancedFilteredList,caseSensitive,"0,505","0,4590163934","0,5437788018","0,6885245902","0,3442622951","0,4244604317","0,7564102564","0,5564925109","0,5503362757","0,5013975976",42,80,59,19
clearlyPolarityCombined,dtaExtended,pattern,enhancedList,caseInSensitive,"0,505","0,4406779661","0,5560538117","0,6393442623","0,3362068966","0,4460431655","0,7380952381","0,5426937139","0,5371510673","0,4983658889",39,77,62,22
polaritySentiWSDichotom,dtaExtended,noLemmatization,noStopwordList,caseInSensitive,"0,505","0,4142011834","0,5714285714","0,5737704918","0,3240740741","0,4748201439","0,7173913043","0,5242953178","0,5207326892","0,4928148774",35,73,66,26
polaritySentiWSDichotom,dtaExtended,pattern,noStopwordList,caseInSensitive,"0,505","0,4071856287","0,5751072961","0,5573770492","0,320754717","0,4820143885","0,7127659574","0,5196957188","0,5167603372","0,4911464624",34,72,67,27
polarityCKDichotom,dtaExtended,pattern,enhancedList,caseInSensitive,"0,5","0,4382022472","0,5495495496","0,6393442623","0,3333333333","0,4388489209","0,734939759","0,5390965916","0,5341365462","0,4938758984",39,78,61,22
polarityNrc,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,5","0,4047619048","0,5689655172","0,5573770492","0,3177570093","0,4748201439","0,7096774194","0,5160985965","0,5137172144","0,486863711",34,73,66,27
polaritySentiWSDichotom,dtaExtended,noLemmatization,noStopwordList,caseSensitive,"0,5","0,4047619048","0,5689655172","0,5573770492","0,3177570093","0,4748201439","0,7096774194","0,5160985965","0,5137172144","0,486863711",34,73,66,27
polaritySentiWSDichotom,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,5","0,4186046512","0,5614035088","0,5901639344","0,3243243243","0,4604316547","0,7191011236","0,5252977946","0,521712724","0,49000408",36,75,64,25
polaritySentiWSDichotom,dtaExtended,pattern,noStopwordList,caseSensitive,"0,5","0,3975903614","0,5726495727","0,5409836066","0,3142857143","0,4820143885","0,7052631579","0,5114989975","0,5097744361","0,485119967",33,72,67,28
polarityNrc,dtaExtended,pattern,noStopwordList,caseSensitive,"0,495","0,4161849711","0,5550660793","0,5901639344","0,3214285714","0,4532374101","0,7159090909","0,5217006722","0,5186688312","0,4856255252",36,76,63,25
polarityNrc,dtaExtended,pattern,noStopwordList,caseInSensitive,"0,49","0,4069767442","0,5526315789","0,5737704918","0,3153153153","0,4532374101","0,7078651685","0,5135039509","0,5115902419","0,4798041616",35,76,63,26
polarityNrc,dtaExtended,treetagger,enhancedList,caseSensitive,"0,49","0,3855421687","0,5641025641","0,5245901639","0,3047619048","0,4748201439","0,6947368421","0,4997051539","0,4997493734","0,4748223664",32,73,66,29
emotion,dtaExtended,treetagger,noStopwordList,caseInSensitive,"0,485","0,5071770335","0,4607329843","0,868852459","0,3581081081","0,3165467626","0,8461538462","0,5926996108","0,6021309771","0,4839550089",53,95,44,8
emotion,dtaExtended,treetagger,noStopwordList,caseSensitive,"0,48","0,5","0,4583333333","0,8524590164","0,3537414966","0,3165467626","0,8301886792","0,5845028895","0,5919650879","0,4791666667",52,95,44,9
emotion,dtaExtended,pattern,enhancedList,caseInSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
emotion,dtaExtended,pattern,enhancedList,caseSensitive,"0,465","0,4729064039","0,4568527919","0,7868852459","0,338028169","0,3237410072","0,775862069","0,5553131265","0,556945119","0,4648795979",48,94,45,13
emotion,dtaExtended,pattern,enhancedList,caseInSensitive,"0,465","0,4780487805","0,4512820513","0,8032786885","0,3402777778","0,3165467626","0,7857142857","0,5599127256","0,5629960317","0,4646654159",49,95,44,12
polarityBawlDichotom,dtaExtended,treetagger,enhancedList,caseInSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,dtaExtended,treetagger,enhancedList,caseSensitive,"0,405","0,4360189573","0,3703703704","0,7540983607","0,3066666667","0,2517985612","0,7","0,5029484609","0,5033333333","0,4031946639",46,104,35,15
polarityBawlDichotom,noExtension,noLemmatization,enhancedFilteredList,caseInSensitive,"0,4","0,4642857143","0,3181818182","0,8524590164","0,3190184049","0,2014388489","0,7567567568","0,5269489327","0,5378875808","0,3912337662",52,111,28,9
polarityBawlDichotom,noExtension,treetagger,enhancedFilteredList,caseSensitive,"0,4","0,4736842105","0,3023255814","0,8852459016","0,3233532934","0,1870503597","0,7878787879","0,5361481307","0,5556160406","0,388004896",54,113,26,7
polarityBawlDichotom,dtaExtended,pattern,enhancedList,caseInSensitive,"0,4","0,4495412844","0,3406593407","0,8032786885","0,3121019108","0,2230215827","0,7209302326","0,5131501356","0,5165160717","0,3951003125",49,108,31,12